2025-01-18 14:11:44,171 DEBUG    root            Loaded Command Group: ['gcloud', 'compute']
2025-01-18 14:11:44,173 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'network_endpoint_groups']
2025-01-18 14:11:44,180 DEBUG    root            Loaded Command Group: ['gcloud', 'compute', 'network-endpoint-groups', 'list']
2025-01-18 14:11:44,182 DEBUG    root            Running [gcloud.compute.network-endpoint-groups.list] with arguments: [--project: "peppy-arcadia-432311-g5"]
2025-01-18 14:11:44,281 DEBUG    root            Chosen display Format:        table(
            name,
            uri().scope().segment(-3).yesno(no="global"):label=LOCATION,
            networkEndpointType:label=ENDPOINT_TYPE,
            size
            )
        
2025-01-18 14:11:44,281 INFO     root            Display format: "        table(
            name,
            uri().scope().segment(-3).yesno(no="global"):label=LOCATION,
            networkEndpointType:label=ENDPOINT_TYPE,
            size
            )
        "
2025-01-18 14:11:44,283 DEBUG    urllib3.connectionpool Starting new HTTPS connection (1): compute.googleapis.com:443
2025-01-18 14:11:45,001 DEBUG    urllib3.connectionpool https://compute.googleapis.com:443 "GET /compute/v1/projects/peppy-arcadia-432311-g5/aggregated/networkEndpointGroups?alt=json&includeAllScopes=True&maxResults=500&returnPartialSuccess=True HTTP/1.1" 200 None
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ NAME
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___                                                         
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ LOCATION
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___            
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ ENDPOINT_TYPE
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___    
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ SIZE
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ 

2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ k8s1-bd2b4460-kube-system-default-http-backend-80-bb4c4143
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ asia-northeast3-a
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ GCE_VM_IP_PORT
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ 0
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ 

2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ k8s1-bd2b4460-kube-system-default-http-backend-80-bb4c4143
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ asia-northeast3-b
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ GCE_VM_IP_PORT
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___   
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ 1
2025-01-18 14:11:45,018 INFO     ___FILE_ONLY___ 

2025-01-18 14:11:45,018 DEBUG    root            SDK update checks are disabled.
